Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi
36,071,12,009,FL,Brevard County,47,81,3303,47,81,3303,36071,12009,70276.59574468085
36,071,12,103,FL,Pinellas County,46,64,3259,46,64,3259,36071,12103,70847.82608695653
36,071,12,127,FL,Volusia County,43,70,3057,43,70,3057,36071,12127,71093.02325581395
36,071,12,086,FL,Miami-Dade County,39,58,2531,39,58,2531,36071,12086,64897.4358974359
36,071,12,097,FL,Osceola County,38,70,2129,38,70,2129,36071,12097,56026.31578947369
36,071,12,081,FL,Manatee County,34,64,3867,34,64,3867,36071,12081,113735.29411764706
36,071,12,021,FL,Collier County,32,56,9016,32,56,9016,36071,12021,281750.0
36,071,12,109,FL,St. Johns County,31,68,3614,31,68,3614,36071,12109,116580.64516129032
36,071,12,069,FL,Lake County,30,49,1650,30,49,1650,36071,12069,55000.0
36,071,12,117,FL,Seminole County,28,64,1333,28,64,1333,36071,12117,47607.142857142855
36,071,12,015,FL,Charlotte County,25,45,2376,25,45,2376,36071,12015,95040.0
36,071,12,083,FL,Marion County,24,43,1691,24,43,1691,36071,12083,70458.33333333333
36,071,12,035,FL,Flagler County,23,53,2738,23,53,2738,36071,12035,119043.47826086957
36,071,12,031,FL,Duval County,21,33,909,21,33,909,36071,12031,43285.71428571428
36,071,12,061,FL,Indian River County,21,36,1580,21,36,1580,36071,12061,75238.09523809524
36,071,12,119,FL,Sumter County,21,38,2816,21,38,2816,36071,12119,134095.2380952381
36,071,12,053,FL,Hernando County,20,39,1174,20,39,1174,36071,12053,58700.0
36,079,12,099,FL,Palm Beach County,39,85,5914,39,85,5914,36079,12099,151641.02564102566
36,079,12,011,FL,Broward County,25,41,1549,25,41,1549,36079,12011,61960.0
36,081,12,011,FL,Broward County,878,1453,57486,878,1453,57486,36081,12011,65473.80410022779
36,081,12,086,FL,Miami-Dade County,826,1243,73611,826,1243,73611,36081,12086,89117.43341404358
36,081,12,099,FL,Palm Beach County,719,1254,76081,719,1254,76081,36081,12099,105815.02086230877
36,081,12,095,FL,Orange County,682,1265,40057,682,1265,40057,36081,12095,58734.604105571845
36,081,12,057,FL,Hillsborough County,410,730,35611,410,730,35611,36081,12057,86856.09756097561
36,081,12,097,FL,Osceola County,389,748,22198,389,748,22198,36081,12097,57064.26735218509
36,081,12,105,FL,Polk County,285,524,15992,285,524,15992,36081,12105,56112.28070175439
36,081,12,103,FL,Pinellas County,175,273,14240,175,273,14240,36081,12103,81371.42857142857
36,081,12,117,FL,Seminole County,166,292,9202,166,292,9202,36081,12117,55433.73493975904
36,081,12,031,FL,Duval County,159,282,8426,159,282,8426,36081,12031,52993.7106918239
36,081,12,071,FL,Lee County,158,286,13140,158,286,13140,36081,12071,83164.55696202532
36,081,12,101,FL,Pasco County,157,332,15390,157,332,15390,36081,12101,98025.47770700637
36,081,12,069,FL,Lake County,149,281,12341,149,281,12341,36081,12069,82825.5033557047
36,081,12,111,FL,St. Lucie County,133,228,10702,133,228,10702,36081,12111,80466.16541353383
36,081,12,021,FL,Collier County,114,203,13738,114,203,13738,36081,12021,120508.77192982456
36,081,12,009,FL,Brevard County,108,192,8881,108,192,8881,36081,12009,82231.48148148147
36,081,12,083,FL,Marion County,104,190,7792,104,190,7792,36081,12083,74923.07692307692
36,081,12,115,FL,Sarasota County,100,172,11084,100,172,11084,36081,12115,110840.0
36,081,12,127,FL,Volusia County,82,153,4236,82,153,4236,36081,12127,51658.53658536585
36,081,12,081,FL,Manatee County,70,110,6475,70,110,6475,36081,12081,92500.0
36,081,12,109,FL,St. Johns County,53,123,5877,53,123,5877,36081,12109,110886.7924528302
36,081,12,053,FL,Hernando County,34,53,2334,34,53,2334,36081,12053,68647.05882352941
36,081,12,035,FL,Flagler County,30,58,1865,30,58,1865,36081,12035,62166.666666666664
36,081,12,085,FL,Martin County,27,39,2945,27,39,2945,36081,12085,109074.07407407407
36,081,12,019,FL,Clay County,26,46,1762,26,46,1762,36081,12019,67769.23076923077
36,081,12,119,FL,Sumter County,25,32,4255,25,32,4255,36081,12119,170200.0
36,081,12,001,FL,Alachua County,24,42,2217,24,42,2217,36081,12001,92375.0
36,083,12,127,FL,Volusia County,24,37,1695,24,37,1695,36083,12127,70625.0
36,083,12,103,FL,Pinellas County,21,31,1606,21,31,1606,36083,12103,76476.19047619047
36,085,12,099,FL,Palm Beach County,216,369,28865,216,369,28865,36085,12099,133634.25925925927
36,085,12,011,FL,Broward County,163,271,17156,163,271,17156,36085,12011,105251.53374233129
